,Year,Population,YearlyChange,Migrants(net),MedianAge,FertilityRate,UrbanPopulation,Yearly%Change,UrbanPop%,Country,Continent,LossFunctCheck
1333,2023,133809793.51363668,1387973.533738494,109671.32859563828,29.495673110797725,2.243189373682071,113500824.38398743,0.010372735038986846,84.82250917786556,Mexico,Latin America and the Caribbean,0.1153412237422282
1334,2024,135342292.65648946,1378075.118597269,145528.89223384857,29.726571123410395,2.2550100501866837,115284511.4000969,0.010182146995950067,85.17996048190128,Mexico,Latin America and the Caribbean,0.1153412237422282
1335,2025,136707304.45259666,1405394.554822754,32566.610882110894,30.464220939818574,1.852126957955491,115580942.44847488,0.010280317942411596,84.54628149628438,Mexico,Latin America and the Caribbean,0.11655760604035785
1336,2030,144251654.24608374,1382156.02844188,106876.60263808817,31.976174773289358,1.618697444352847,123450264.09356976,0.009581561027258748,85.57979091385101,Mexico,Latin America and the Caribbean,0.11655760604035785
1337,2035,151796004.0395713,1358917.5020610057,181186.59439406544,33.48812860676003,1.385267930750203,131319585.73866463,0.008952261363261929,86.51056829166022,Mexico,Latin America and the Caribbean,0.11655760604035785
1338,2040,159340353.83305836,1335678.9756801315,255496.5861500427,35.00008244023081,1.151838417147573,139188907.3837595,0.008382553091852228,87.35320591140922,Mexico,Latin America and the Caribbean,0.11655760604035785
1339,2050,174429053.42003298,1289201.922918385,404116.56966199726,38.02399010717227,0.6849793899422991,154927550.67394924,0.007390981591890709,88.81980818922221,Mexico,Latin America and the Caribbean,0.11655760604035785
1340,2020,541876.5549673438,6109.405837267637,-1780.7310644984245,26.082981811519858,3.0039749164061504,367533.2102897763,0.01127453435891099,67.82600334349688,Micronesia,Oceania,0.04955654318057571
1341,2021,544061.7769769132,6763.819829180837,-972.2924021780491,26.220623611045085,3.014178536496729,368897.3723208308,0.012432080538287572,67.80431707050147,Micronesia,Oceania,0.04955654318057571
1342,2022,546133.9274380207,7474.06617218256,-103.13184900581837,26.357038970090343,3.0273653733092942,370130.18668293953,0.013685409011749727,67.77278760527922,Micronesia,Oceania,0.04955654318057571
1343,2023,548093.0063508153,8240.144866332412,826.7505949288607,26.49222788865609,3.043535426840208,371231.65337598324,0.015034209104755811,67.73150707534676,Micronesia,Oceania,0.04955654318057571
1344,2024,549939.013715148,9062.055911570787,1817.354929715395,26.626190366740502,3.0626886970894702,372201.77239972353,0.01647829247529011,67.68055422823902,Micronesia,Oceania,0.04955654318057571
1345,2025,565901.906018137,2913.346248969494,-4773.116240725503,26.913272877164104,2.7093899422918355,389570.53421269543,0.005148147086954893,68.84064712802183,Micronesia,Oceania,0.2716462237538851
1346,2030,585090.0226710634,2105.8112118713907,-5167.800906842545,27.691096455070124,2.5424278647980145,405988.7658697441,0.003599123434472363,69.38911110059901,Micronesia,Oceania,0.2716462237538851
1347,2035,604278.1393239908,1298.2761747732875,-5562.485572959617,28.468920032976087,2.3754657873042078,422406.9975267928,0.002148474502529044,69.90274346170156,Micronesia,Oceania,0.2716462237538851
1348,2040,623466.2559769172,490.7411376751843,-5957.170239076688,29.246743610882106,2.208503709810387,438825.2291838415,0.0007871173988498154,70.38476019784594,Micronesia,Oceania,0.2716462237538851
1349,2050,661842.4892827701,-1124.3289365210221,-6746.53957131083,30.802390766694145,1.874579554822759,471661.6924979389,-0.0016987862742681306,71.26494598572424,Micronesia,Oceania,0.2716462237538851
1350,2020,4039337.4769045115,-1041.2852621078491,2012.835235759616,37.04527863825933,1.3288658582678181,1720354.419955492,-0.00025778615133336747,42.590014570257225,Moldova,Europe,0.09735766150239315
1351,2021,4035406.28221035,1939.3841179013252,3440.9418563246727,37.40050206709566,1.3682187635349692,1721637.6215996742,0.0004805920351690211,42.66330330081822,Moldova,Europe,0.09735766150239315
1352,2022,4031966.7869911194,5158.388304948807,4906.565066739917,37.76328965238099,1.4129337015874626,1723754.7584257126,0.0012793727174519427,42.752206292653405,Moldova,Europe,0.09735766150239315
1353,2023,4029018.991246462,8615.727299153805,6409.704867094755,38.133641394106235,1.4630106724162033,1726705.8304333687,0.002138418140463604,42.856730985504136,Moldova,Europe,0.09735766150239315
1354,2024,4026562.8949764967,12311.40110039711,7950.361257299781,38.51155729227321,1.5184496760266484,1730490.8376221657,0.0030575459570634555,42.97687339693887,Moldova,Europe,0.09735766150239315
