,Year,YearlyChange,Migrants(net),MedianAge,FertilityRate,UrbanPopulation,Yearly%Change,UrbanPop%,Country,Continent,LossFunctCheck,Population
35,2050,1758617.5498763397,-20344.289777411148,16.888911788953006,4.086640560593551,38857191.11912632,3.2865979316392337,72.61838366756375,Angola,Africa,0.10901556191243349,53508752.40766692
36,2022,164.65166287665488,0.0,0.0,0.0,15383.211786062457,1.0314938785228758,96.37126350331063,Anguilla,Latin America and the Caribbean,0.09362646723413935,15962.446923334152
37,2025,114.91673536685812,0.0,0.0,0.0,15559.64550700743,0.7073765345187398,95.77828748745736,Anguilla,Latin America and the Caribbean,0.040243475562829076,16245.483099752688
38,2030,89.41920857378318,0.0,0.0,0.0,16527.883759274555,0.5177157093500598,95.69247146073391,Anguilla,Latin America and the Caribbean,0.040243475562829076,17271.87469084916
39,2035,63.92168178070824,0.0,0.0,0.0,17496.12201154162,0.349331902792222,95.61628266829048,Anguilla,Latin America and the Caribbean,0.040243475562829076,18298.26628194563
40,2040,38.4241549876333,0.0,0.0,0.0,18464.360263808747,0.19883485254988711,95.54818711469446,Anguilla,Latin America and the Caribbean,0.040243475562829076,19324.657873042044
41,2050,-12.570898598516578,0.0,0.0,0.0,20400.83676834294,-0.05880450595576859,95.43161277175926,Anguilla,Latin America and the Caribbean,0.040243475562829076,21377.441055234987
42,2022,1180.797945231432,271.9546372896293,35.01621591997446,2.120605317110858,24886.0296151191,1.163701597581327,24.525713766290703,Antigua and Barbuda,Latin America and the Caribbean,0.2553100366677677,101469.13501585275
43,2025,1022.5152514427036,103.89859851607594,35.100247320692574,1.9728029678483079,25586.661170651274,0.9749432837296779,24.396255631587724,Antigua and Barbuda,Latin America and the Caribbean,1.9020521069073746,104879.4600164881
44,2030,1038.0643033800488,108.7481450948062,36.50915086562247,1.9487098103874683,25681.963314097276,0.9366780754440884,23.173643378686922,Antigua and Barbuda,Latin America and the Caribbean,1.9020521069073746,110824.02061005775
45,2035,1053.613355317394,113.5976916735367,37.91805441055237,1.9246166529266269,25777.26545754328,0.9023089468562144,22.075514827564344,Antigua and Barbuda,Latin America and the Caribbean,1.9020521069073746,116768.5812036274
46,2040,1069.1624072547393,118.44723825226697,39.32695795548227,1.9005234954657855,25872.56760098928,0.8712696876604299,21.083778984118755,Antigua and Barbuda,Latin America and the Caribbean,1.9020521069073746,122713.14179719705
47,2050,1100.2605111294306,128.14633140972796,42.14476504534218,1.8523371805441045,26063.171887881286,0.8174160573046738,19.36310082016545,Antigua and Barbuda,Latin America and the Caribbean,1.9020521069073746,134602.26298433635
48,2022,411772.09842926264,6642.438089698553,31.470621702937933,2.116627251389673,43039127.4708333,0.8909031620115523,93.11872975427116,Argentina,Latin America and the Caribbean,0.09037601372039895,46219624.75691867
49,2025,410934.0222588624,627.5350370981032,31.90626545754327,2.105490519373454,44181657.78647995,0.8694924918396851,93.48366803801723,Argentina,Latin America and the Caribbean,0.5097802822040528,47261365.234954715
50,2030,405877.823577906,1818.7963726298185,32.681821929101375,1.9831492168178073,46415760.599752784,0.8224981858563712,94.0600266156509,Argentina,Latin America and the Caribbean,0.5097802822040528,49346956.69332242
51,2035,400821.62489694986,3010.057708161592,33.457378400659536,1.8608079142621605,48649863.41302562,0.779315121068485,94.58964247608846,Argentina,Latin America and the Caribbean,0.5097802822040528,51432548.151690006
52,2040,395765.4262159935,4201.319043693307,34.23293487221764,1.7384666117065137,50883966.22629857,0.7394977274987655,95.07798028303641,Argentina,Latin America and the Caribbean,0.5097802822040528,53518139.61005771
53,2050,385653.02885408094,6583.841714756796,35.784047815333906,1.4937840065952201,55352171.85284424,0.6684998401133398,95.94872920744837,Argentina,Latin America and the Caribbean,0.5097802822040528,57689322.52679312
54,2022,-1326.855715945363,-4195.464291244745,36.27994265889083,1.7312731050924413,1636518.53489542,-0.04903475221067736,60.478528209529934,Armenia,Asia,0.14520436585246757,2705949.670642853
55,2025,7935.538334707264,4906.075020610355,36.12283594394063,1.498804616652933,1716117.637262985,0.2835713313446093,61.324354141700695,Armenia,Asia,0.31340458521369774,2798427.576257214
56,2030,11808.418384171324,14064.275762572419,37.294929925803785,1.3807708161582894,1643931.5787304193,0.43372811150408275,60.382289641806885,Armenia,Asia,0.31340458521369774,2722539.3215169013
57,2035,15681.298433635617,23222.476504534483,38.46702390766694,1.262737015663646,1571745.5201978572,0.5924958764108719,59.38620092115584,Armenia,Asia,0.31340458521369774,2646651.066776585
58,2040,19554.178483099677,32380.677246496547,39.6391178895301,1.1447032151690095,1499559.4616652913,0.7606372082071249,58.33130363658509,Armenia,Asia,0.31340458521369774,2570762.812036272
59,2050,27299.93858202803,50697.078730420675,41.98330585325641,0.9086356141797225,1355187.3446001634,1.1285693744187713,56.02294412202396,Armenia,Asia,0.31340458521369774,2418986.3025556467
60,2022,576.6091327287722,381.4957907216158,42.223920457423674,2.0525454862699917,47949.419908276526,0.508566837562468,42.29118732529265,Aruba,Latin America and the Caribbean,0.516385874211845,113379.2237599343
61,2025,207.64715581203927,87.54987633965357,42.93569661995059,1.6968590272052744,49121.84583676839,0.1780781395643506,42.126880497687885,Aruba,Latin America and the Caribbean,0.3438317750635922,116604.51772464952
62,2030,-39.55523495464877,-49.154575432810816,44.6207749381698,1.6287840065952146,51015.79596042866,-0.032184329634659656,41.50927672778259,Aruba,Latin America and the Caribbean,0.3438317750635922,122902.15581203625
63,2035,-286.75762572135136,-185.8590272052752,46.30585325638913,1.5607089859851584,52909.74608408904,-0.22194898077359324,40.95188118123269,Aruba,Latin America and the Caribbean,0.3438317750635922,129199.79389942251
64,2040,-533.9600164880394,-322.5634789777396,47.99093157460845,1.4926339653750986,54803.696207749425,-0.39407390137107595,40.44629880002788,Aruba,Latin America and the Caribbean,0.3438317750635922,135497.43198680924
65,2050,-1028.36479802143,-595.9723825226683,51.36108821104699,1.3564839241549862,58591.596455070074,-0.6944060992519563,39.56413329354561,Aruba,Latin America and the Caribbean,0.3438317750635922,148092.7081615827
66,2022,346131.931748271,187325.27726501226,39.08713553441885,1.9480930097379314,22217344.167201996,1.3286360559925898,85.28182990758894,Australia,Oceania,0.1294422972611444,26051673.83401203
